Cell,Ra,Stimulation_Type,First_Peak,Total_Area
2,47.60256,m,-138.0370941,-1739.148026
2,47.92634,m,-156.3964691,-1531.982864
2,48.0949,m,-169.6533051,-1925.671143
2,48.4134,m,-176.660141,-1987.640343
2,48.17817,m,-142.6025238,-2265.137573
3,36.35476,c,-112.7929611,-2612.296143
3,37.01136,c,-111.4783554,-3102.091797
3,36.16099,c,-128.2395477,-3642.967285
3,37.4727,c,-141.7142181,-2368.182861
3,37.86326,c,-98.0694046,-3645.494629
3,37.01386,c,-112.736618,-2644.590088
3,38.22724,c,-146.2120361,-3971.376465
3,39.40972,c,-156.6067963,-3115.705566
3,40.27631,c,-127.8263931,-2177.329346
3,40.80647,c,-141.9395905,-3616.557617
3,41.15704,c,-142.8410339,-3443.151855
3,42.21997,c,-114.9983673,-3222.22583
3,41.97887,m,-123.5107346,-1412.05542
3,42.4774,m,-86.73501587,-1745.871216
3,43.43466,m,-97.98176575,-1487.332153
3,43.20702,m,-92.63508606,-1957.21521
3,43.99565,m,-66.48762512,-1296.583496
3,45.29488,m,-136.3037109,-2480.806396
3,46.04368,m,-62.04426956,-1594.958008
3,46.28004,m,-92.08170319,-1232.402832
3,46.90414,m,-99.25943756,-1935.883667
3,47.20915,c,-108.6807098,-2240.651367
3,46.76264,c,-71.30432129,-2556.306641
3,47.42292,c,-118.9269867,-1525.109497
3,47.68884,c,-125.9536591,-2219.47583
3,46.96971,c,-142.3110809,-2557.405518
3,48.15521,c,-96.93908691,-1934.759399
3,47.84727,c,-100.227356,-1499.752686
3,46.59003,c,-95.4818573,-2650.102783
3,46.95838,c,-99.75431824,-2611.955566
3,48.18751,c,-96.77886963,-2289.703613
3,46.67018,c,-109.5352173,-2227.560059
3,49.38068,c,-96.08459473,-2446.789307
3,48.94772,c,-117.3248138,-2460.363037
3,49.39474,c,-91.46881104,-2410.501953
3,50.78014,c,-104.5837402,-2218.237549
3,50.474,c,-102.5924683,-2469.144531
3,50.66624,c,-70.54138184,-1703.696777
3,51.249,c,-130.5389252,-2863.114258
3,54.75514,c,-116.3904495,-2987.57959
3,54.55529,c,-69.55135345,-2075.045654
3,53.78179,c,-101.9071655,-2824.959473
3,55.20431,c,-126.6012573,-2922.58252
3,54.77626,c,-107.3428879,-2509.807861
3,54.69047,c,-130.2059174,-2500.927979
3,54.87576,c,-100.600296,-2119.327148
3,54.94512,c,-115.5934067,-2313.800537
3,55.10576,c,-107.3644333,-2436.18042
3,54.89414,c,-82.29693604,-1950.326416
3,55.02461,c,-153.6434174,-3339.85083
3,55.64854,c,-119.2842255,-2194.754395
3,55.57739,c,-109.525795,-1766.615601
